id;mmsi;imo;vessel_name;callsign;vessel_type;vessel_type_code;vessel_type_cargo;vessel_class;length;width;flag_country;flag_code;destination;eta;draught;longitude;latitude;sog;cog;rot;heading;nav_status;nav_status_code;source;ts_pos_utc;ts_static_utc;ts_eta;ts_insert_utc;registry_name;registry_name_en;vessel_type_main;vessel_type_sub;message_type
773323976;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.68;76.5733333333333;12;145;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 02:48:38;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 02:49:26;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773377298;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.7316666666667;76.555;13;148;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 02:54:40;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 02:54:51;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773327696;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.92155;78.0177833333333;17;22.2000007629395;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 02:47:30;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 02:47:43;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773392975;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.8483333333333;76.5083333333333;13;148;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 03:09:39;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 03:09:53;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773393151;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.1268166666667;78.1179;17;23.2000007629395;0;22;Under Way Using Engine;0;S-AIS;15.08.2019 03:09:36;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 03:09:53;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773429518;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.3065333333333;78.20615;17;22.3999996185303;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 03:29:37;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 03:29:55;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773433875;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.0542383333333;76.4602266666667;13;134;0;130;Under Way Using Engine;0;T-AIS;15.08.2019 03:28:27;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 03:28:31;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773472088;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.185;76.4333333333333;13;132;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 03:39:41;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 03:39:55;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773472234;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.3989833333333;78.25365;17;21.2000007629395;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 03:39:38;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 03:40:07;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773504106;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.4790666666667;78.2962666666667;17;20.5;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 03:48:55;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 03:49:12;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
